Gender,Count,Rank
FEMALE,12,41
FEMALE,12,41
FEMALE,12,41
FEMALE,12,41
FEMALE,12,41
FEMALE,12,41
FEMALE,11,42
FEMALE,11,42
FEMALE,11,42
FEMALE,11,42
FEMALE,11,42
FEMALE,11,42
FEMALE,11,42
FEMALE,11,42
FEMALE,11,42
FEMALE,11,42
FEMALE,11,42
FEMALE,11,42
FEMALE,10,43
FEMALE,10,43
FEMALE,10,43
FEMALE,10,43
FEMALE,10,43
FEMALE,10,43
FEMALE,10,43
FEMALE,10,43
FEMALE,10,43
FEMALE,10,43
FEMALE,10,43
FEMALE,10,43
FEMALE,10,43
FEMALE,10,43
FEMALE,10,43
FEMALE,10,43
FEMALE,10,43
FEMALE,10,43
FEMALE,10,43
FEMALE,10,43
FEMALE,276,1
FEMALE,261,2
FEMALE,228,3
FEMALE,197,4
FEMALE,180,5
FEMALE,179,6
FEMALE,124,7
FEMALE,119,8
FEMALE,117,9
FEMALE,116,10
FEMALE,116,10
FEMALE,115,11
FEMALE,110,12
FEMALE,108,13
FEMALE,100,14
FEMALE,97,15
FEMALE,94,16
FEMALE,93,17
FEMALE,87,18
FEMALE,86,19
FEMALE,85,20
FEMALE,83,21
FEMALE,81,22
FEMALE,81,22
FEMALE,79,23
FEMALE,75,24
FEMALE,73,25
FEMALE,69,26
FEMALE,68,27
FEMALE,66,28
FEMALE,66,28
FEMALE,64,29
FEMALE,61,30
FEMALE,60,31
FEMALE,58,32
FEMALE,57,33
FEMALE,57,33
FEMALE,57,33
FEMALE,56,34
FEMALE,55,35
FEMALE,55,35
FEMALE,52,36
FEMALE,52,36
FEMALE,51,37
FEMALE,49,38
FEMALE,49,38
FEMALE,48,39
FEMALE,48,39
FEMALE,48,39
FEMALE,46,40
FEMALE,46,40
FEMALE,45,41
FEMALE,44,42
FEMALE,44,42
FEMALE,43,43
FEMALE,42,44
FEMALE,39,45
FEMALE,39,45
FEMALE,39,45
FEMALE,38,46
FEMALE,38,46
FEMALE,37,47
FEMALE,37,47
FEMALE,37,47
FEMALE,36,48
FEMALE,36,48
FEMALE,36,48
FEMALE,35,49
FEMALE,35,49
FEMALE,35,49
FEMALE,34,50
FEMALE,34,50
FEMALE,33,51
FEMALE,33,51
FEMALE,32,52
FEMALE,32,52
FEMALE,32,52
FEMALE,32,52
FEMALE,32,52
FEMALE,32,52
FEMALE,31,53
FEMALE,31,53
FEMALE,31,53
FEMALE,30,54
FEMALE,30,54
FEMALE,30,54
FEMALE,29,55
FEMALE,29,55
FEMALE,28,56
FEMALE,28,56
FEMALE,28,56
FEMALE,27,57
FEMALE,27,57
FEMALE,27,57
FEMALE,27,57
FEMALE,27,57
FEMALE,27,57
FEMALE,27,57
FEMALE,26,58
FEMALE,26,58
FEMALE,26,58
FEMALE,25,59
FEMALE,25,59
FEMALE,25,59
FEMALE,25,59
FEMALE,25,59
FEMALE,24,60
FEMALE,24,60
FEMALE,24,60
FEMALE,24,60
FEMALE,24,60
FEMALE,23,61
FEMALE,23,61
FEMALE,23,61
FEMALE,23,61
FEMALE,23,61
FEMALE,22,62
FEMALE,22,62
FEMALE,22,62
FEMALE,22,62
FEMALE,22,62
FEMALE,22,62
FEMALE,22,62
FEMALE,22,62
FEMALE,21,63
FEMALE,21,63
FEMALE,21,63
FEMALE,21,63
FEMALE,21,63
FEMALE,21,63
FEMALE,21,63
FEMALE,20,64
FEMALE,20,64
FEMALE,20,64
FEMALE,20,64
FEMALE,20,64
FEMALE,20,64
FEMALE,20,64
FEMALE,20,64
FEMALE,20,64
FEMALE,20,64
FEMALE,20,64
FEMALE,19,65
FEMALE,19,65
FEMALE,19,65
FEMALE,19,65
FEMALE,19,65
FEMALE,19,65
FEMALE,19,65
FEMALE,18,66
FEMALE,18,66
FEMALE,18,66
FEMALE,18,66
FEMALE,18,66
FEMALE,18,66
FEMALE,18,66
FEMALE,18,66
FEMALE,18,66
FEMALE,17,67
FEMALE,17,67
FEMALE,17,67
FEMALE,17,67
FEMALE,17,67
FEMALE,17,67
FEMALE,17,67
FEMALE,17,67
FEMALE,17,67
FEMALE,16,68
FEMALE,16,68
FEMALE,16,68
FEMALE,16,68
FEMALE,16,68
FEMALE,16,68
FEMALE,16,68
FEMALE,16,68
FEMALE,16,68
FEMALE,16,68
FEMALE,15,69
FEMALE,15,69
FEMALE,15,69
FEMALE,15,69
FEMALE,15,69
FEMALE,15,69
FEMALE,15,69
FEMALE,15,69
FEMALE,15,69
FEMALE,15,69
FEMALE,15,69
FEMALE,15,69
FEMALE,15,69
FEMALE,15,69
FEMALE,15,69
FEMALE,15,69
FEMALE,15,69
FEMALE,14,70
FEMALE,14,70
FEMALE,14,70
FEMALE,14,70
FEMALE,14,70
FEMALE,14,70
FEMALE,14,70
FEMALE,14,70
FEMALE,14,70
FEMALE,14,70
FEMALE,14,70
FEMALE,14,70
FEMALE,14,70
FEMALE,14,70
FEMALE,14,70
FEMALE,13,71
FEMALE,13,71
FEMALE,13,71
FEMALE,13,71
FEMALE,13,71
FEMALE,13,71
FEMALE,13,71
FEMALE,13,71
FEMALE,13,71
FEMALE,13,71
FEMALE,13,71
FEMALE,13,71
FEMALE,13,71
FEMALE,13,71
FEMALE,13,71
FEMALE,13,71
FEMALE,13,71
FEMALE,13,71
FEMALE,13,71
FEMALE,12,72
FEMALE,12,72
FEMALE,12,72
FEMALE,12,72
FEMALE,12,72
FEMALE,12,72
FEMALE,12,72
FEMALE,12,72
FEMALE,12,72
FEMALE,12,72
FEMALE,12,72
FEMALE,12,72
FEMALE,12,72
FEMALE,12,72
FEMALE,12,72
FEMALE,12,72
FEMALE,12,72
FEMALE,12,72
FEMALE,12,72
FEMALE,12,72
FEMALE,12,72
FEMALE,12,72
FEMALE,12,72
FEMALE,11,73
FEMALE,11,73
FEMALE,11,73
FEMALE,11,73
FEMALE,11,73
FEMALE,11,73
FEMALE,11,73
FEMALE,11,73
FEMALE,11,73
FEMALE,11,73
FEMALE,11,73
FEMALE,11,73
FEMALE,11,73
FEMALE,11,73
FEMALE,11,73
FEMALE,11,73
FEMALE,11,73
FEMALE,11,73
FEMALE,11,73
FEMALE,11,73
FEMALE,11,73
FEMALE,11,73
FEMALE,11,73
FEMALE,11,73
FEMALE,11,73
FEMALE,11,73
FEMALE,11,73
FEMALE,11,73
FEMALE,11,73
FEMALE,11,73
FEMALE,10,74
FEMALE,10,74
FEMALE,10,74
FEMALE,10,74
FEMALE,10,74
FEMALE,10,74
FEMALE,10,74
FEMALE,10,74
FEMALE,10,74
FEMALE,10,74
FEMALE,10,74
FEMALE,10,74
FEMALE,10,74
FEMALE,10,74
FEMALE,10,74
FEMALE,10,74
FEMALE,10,74
FEMALE,10,74
FEMALE,10,74
FEMALE,10,74
FEMALE,10,74
FEMALE,10,74
FEMALE,10,74
FEMALE,10,74
FEMALE,230,1
FEMALE,221,2
FEMALE,209,3
FEMALE,202,4
FEMALE,201,5
FEMALE,190,6
FEMALE,182,7
FEMALE,178,8
FEMALE,168,9
FEMALE,166,10
FEMALE,159,11
FEMALE,148,12
FEMALE,144,13
FEMALE,137,14
FEMALE,136,15
FEMALE,127,16
FEMALE,117,17
FEMALE,117,17
FEMALE,114,18
FEMALE,110,19
FEMALE,99,20
FEMALE,99,20
FEMALE,95,21
FEMALE,91,22
FEMALE,87,23
FEMALE,86,24
FEMALE,84,25
FEMALE,82,26
FEMALE,81,27
FEMALE,81,27
FEMALE,80,28
FEMALE,79,29
FEMALE,79,29
FEMALE,76,30
FEMALE,76,30
FEMALE,75,31
FEMALE,73,32
FEMALE,72,33
FEMALE,71,34
FEMALE,68,35
FEMALE,67,36
FEMALE,67,36
FEMALE,66,37
FEMALE,66,37
FEMALE,62,38
FEMALE,62,38
FEMALE,61,39
FEMALE,61,39
FEMALE,58,40
FEMALE,58,40
FEMALE,57,41
FEMALE,57,41
FEMALE,57,41
FEMALE,55,42
FEMALE,55,42
FEMALE,55,42
FEMALE,54,43
FEMALE,54,43
FEMALE,53,44
FEMALE,53,44
FEMALE,49,45
FEMALE,48,46
FEMALE,48,46
FEMALE,48,46
FEMALE,47,47
FEMALE,47,47
FEMALE,47,47
FEMALE,46,48
FEMALE,46,48
FEMALE,46,48
FEMALE,45,49
FEMALE,45,49
FEMALE,44,50
